date,total
0014-03,1
0018-01,4
1009-10,1
1100-01,1
1220-01,1
1387-01,1
1485-01,1
1531-01,1
1534-01,1
1539-01,1
1550-01,2
1553-01,1
1575-01,1
1582-01,2
1584-01,1
1587-01,1
1589-01,1
1592-01,2
1596-01,1
1599-01,2
1601-01,1
1605-01,1
1606-01,1
1607-01,1
1610-01,1
1611-01,2
1623-01,38
1631-01,1
1637-01,1
1644-01,1
1645-01,1
1651-01,1
1658-01,1
1667-01,1
1671-01,1
1674-01,1
1675-01,1
1678-01,1
1687-01,1
1690-01,1
1705-01,1
1714-01,1
1721-01,1
1729-01,1
1738-01,1
1740-01,1
1742-01,1
1747-01,1
1748-01,1
1749-01,1
1750-01,1
1764-01,2
1765-01,3
1768-01,2
1774-01,2
1779-01,1
1788-01,2
1793-01,2
1796-01,1
1798-01,1
1800-01,1
1805-01,1
1809-01,4
1810-01,1
1813-01,1
1814-01,1
1816-01,1
1820-01,1
1821-01,2
1824-01,1
1826-01,4
1827-01,1
1837-01,3
1839-01,1
1840-01,1
1844-01,1
1846-01,2
1847-01,3
1848-01,3
1849-01,1
1850-01,4
1851-01,2
1852-01,3
1853-01,4
1854-01,2
1855-01,2
1856-01,1
1857-01,2
1858-01,6
1859-01,2
1860-01,3
1861-01,2
1862-01,1
1863-01,3
1864-01,1
1866-01,1
1869-01,3
1873-01,2
1874-01,3
1875-01,1
1876-01,1
1877-01,1
1878-01,2
1879-01,2
1880-01,3
1881-01,2
1885-01,1
1886-01,3
1887-01,1
1888-01,10
1889-01,1
1890-01,1
1891-01,5
1892-01,3
1893-01,3
1894-01,2
1895-01,2
1896-01,3
1897-01,3
1898-01,6
1899-01,3
1900-01,2393
1901-01,1
1902-01,2
1903-01,2
1904-01,5
1905-01,1
1906-01,4
1908-01,1
1909-01,2
1910-01,1
1911-01,1
1912-01,1
1913-01,1
1914-01,1
1915-01,4
1916-01,4
1917-01,5
1919-01,3
1920-01,3
1923-01,1
1924-01,1
1926-01,1
1928-01,2
1930-01,1
1932-01,1
1933-01,1
1936-01,1
1937-01,1
1939-01,1
1963-01,1
1984-01,34
1985-01,14
1986-01,6
1987-01,28
1988-01,4
1989-01,46
1990-01,19
1991-01,4
1992-01,3
1993-01,6
1994-01,14
1995-01,14
1996-01,22
1997-01,20
1997-09,1
1999-01,4
1999-03,1
2000-01,19
2001-01,2
2001-05,1
2001-06,1
2002-01,9
2002-07,1
2003-01,3
2004-01,4
2004-02,1
2004-03,1
2004-10,3
2004-11,5
2005-01,15
2005-02,1
2005-03,1
2005-08,1
2005-09,1
2005-10,30
2005-11,6
2005-12,26
2006-01,25
2006-02,7
2006-03,2
2006-04,6
2006-05,36
2006-06,502
2006-07,147
2006-08,5
2006-09,2
2006-10,15
2006-11,34
2006-12,8
2007-01,64
2007-02,5
2007-03,2
2007-04,2
2007-05,14
2007-06,49
2007-07,15
2007-08,4
2007-09,6
2007-10,11
2007-11,19
2007-12,6
2008-01,116
2008-02,5
2008-03,35
2008-04,1
2008-05,2
2008-06,8
2008-07,4
2008-08,6
2008-09,6
2008-10,7
2008-11,19
2008-12,24
2009-01,120
2009-02,58
2009-03,123
2009-04,39
2009-05,25
2009-06,166
2009-07,44
2009-08,847
2009-09,436
2009-10,321
2009-11,159
2009-12,534
2010-01,1071
2010-02,452
2010-03,677
2010-04,1845
2010-05,1586
2010-06,1107
2010-07,222
2010-08,4286
2010-09,45
2010-10,124
2010-11,114
2010-12,535
2011-01,45
2011-02,204
2011-03,279
2011-04,280
2011-05,216
2011-06,283
2011-07,410
2011-08,258
2011-09,66
2011-10,109
2011-11,82
2011-12,47
2012-01,45
2012-02,52
2012-03,34
2012-04,202
2012-05,391
2012-06,283
2012-07,254
2012-08,217
2012-09,103
2012-10,100
2012-11,83
2012-12,43
2013-01,40
2013-02,18
2013-03,38
2013-04,13
2013-05,3
2013-06,6
2013-07,20
2013-08,13
2013-09,49
2013-10,61
2013-11,86
2013-12,34
2014-01,4
2014-02,1
2014-03,18
2014-04,10
2014-05,10
2014-06,17
2014-07,11
2014-08,7
2014-09,7
2014-10,74
2014-11,30
2014-12,50
2015-01,10
2015-02,27
2015-03,6
2015-04,26
2015-05,5
2015-06,9
2015-07,5
2015-08,1
2015-09,8
2015-10,54
2015-11,58
2015-12,22
2016-01,1
2016-02,3
2016-03,6
2016-04,2
July-01,1
