date,total
1825-01,1
1845-01,1
1849-01,1
1858-01,2
1859-01,14
1860-01,18
1861-01,6
1863-01,8
1864-01,7
1865-01,3
1866-01,4
1867-01,15
1868-01,32
1869-01,2
1870-01,15
1871-01,1
1872-01,5
1873-01,41
1875-01,39
1876-01,1
1877-01,1
1879-01,4
1880-01,16
1881-01,5
1882-01,8
1884-01,10
1885-01,115
1886-01,7
1886-02,1
1886-10,1
1887-01,15
1887-11,1
1888-01,3
1888-10,1
1889-01,1
1889-06,1
1889-08,1
1890-01,59
1890-03,3
1890-06,1
1891-01,3
1891-08,1
1891-10,1
1892-01,3
1893-01,12
1893-03,1
1894-01,2
1894-12,1
1895-01,33
1895-09,2
1896-01,4
1897-01,3
1898-01,28
1898-09,1
1899-01,12
1899-06,1
1899-11,1
1900-01,120
1900-04,1
1900-05,1
1900-06,2
1901-01,35
1901-07,7
1902-01,67
1902-04,5
1902-05,2
1902-06,3
1902-08,4
1902-09,2
1902-10,2
1902-11,1
1902-12,40
1903-01,13
1903-04,6
1903-05,15
1903-06,1
1903-07,2
1903-12,5
1904-01,19
1904-04,1
1904-05,2
1904-06,1
1904-07,2
1904-08,2
1904-09,1
1904-12,9
1905-01,56
1905-02,1
1905-03,3
1905-04,29
1905-05,3
1905-06,1
1905-07,7
1905-08,1
1905-09,2
1905-10,3
1905-11,3
1905-12,4
1906-01,21
1906-03,1
1906-05,4
1906-06,1
1906-07,2
1906-08,4
1906-09,4
1906-10,1
1906-11,2
1906-12,3
1907-01,17
1907-02,2
1907-03,1
1907-04,1
1907-05,2
1907-06,2
1907-08,2
1907-09,1
1907-10,7
1907-11,4
1907-12,8
1908-01,25
1908-02,2
1908-03,3
1908-04,2
1908-05,4
1908-06,3
1908-07,4
1908-09,1
1908-10,1
1908-11,2
1908-12,11
1909-01,7
1909-04,15
1909-07,1
1909-08,1
1909-10,1
1909-11,2
1909-12,45
1910-01,140
1910-02,1
1910-03,1
1910-04,1
1910-05,1
1910-06,2
1910-09,1
1910-10,2
1910-12,3
1911-01,57
1911-02,3
1911-03,1
1911-04,1
1911-05,2
1911-10,3
1911-11,1
1911-12,16
1912-01,29
1912-02,12
1912-03,30
1912-04,32
1912-05,10
1912-06,24
1912-07,18
1912-08,12
1912-10,1
1912-12,1
1913-01,80
1913-02,3
1913-03,4
1913-04,1
1913-09,1
1913-10,3
1913-11,3
1913-12,11
1914-01,32
1914-04,5
1914-05,2
1914-08,4
1914-09,4
1914-10,8
1914-12,16
1915-01,1824
1915-02,22
1915-03,18
1915-04,5
1915-05,33
1915-06,1
1915-07,4
1915-08,2
1915-09,2
1915-11,1
1915-12,5
1916-01,148
1916-02,2
1916-04,3
1916-05,2
1916-07,3
1916-11,1
1916-12,6
1917-01,130
1917-02,2
1917-03,3
1917-04,5
1917-05,2
1917-06,1
1917-07,2
1917-08,1
1917-09,1
1917-10,13
1917-11,1
1917-12,2
1918-01,81
1918-03,1
1918-04,2
1918-09,3
1918-10,1
1918-11,4
1918-12,4
1919-01,28
1919-02,10
1919-03,6
1919-04,1
1919-07,3
1919-10,2
1919-12,11
1920-01,61
1920-02,1
1920-03,1
1920-04,1
1920-06,2
1920-07,1
1920-12,2
1921-01,19
1921-04,1
1921-05,2
1921-06,13
1921-07,1
1922-01,22
1922-02,2
1922-04,1
1922-06,1
1922-07,1
1922-08,1
1922-09,4
1922-10,4
1922-12,1
1923-01,24
1923-03,2
1923-04,4
1923-05,1
1923-08,1
1923-10,1
1923-12,1
1924-01,19
1924-04,1
1924-06,1
1924-08,2
1924-12,14
1925-01,54
1925-02,1
1925-03,1
1925-07,2
1925-08,1
1925-10,2
1925-12,1
1926-01,25
1926-02,2
1926-03,1
1926-04,3
1926-05,1
1926-07,2
1926-08,1
1926-09,1
1926-10,3
1927-01,33
1927-05,1
1927-06,1
1927-08,1
1927-10,1
1927-12,4
1928-01,47
1928-02,1
1928-04,2
1928-05,2
1928-06,1
1928-07,1
1928-08,1
1928-09,1
1928-10,3
1928-11,2
1928-12,3
1929-01,26
1929-03,4
1929-04,2
1929-05,3
1929-07,1
1929-11,2
1929-12,15
1930-01,102
1930-03,1
1930-04,1
1930-05,1
1930-06,1
1930-07,1
1930-08,6
1930-09,1
1930-11,1
1930-12,1
1931-01,19
1931-02,2
1931-03,1
1931-04,2
1931-05,1
1931-07,1
