date,total
1992-01,1
2004-02,1
2004-11,1
2005-02,1
2005-03,1
2005-10,28
2005-11,4
2005-12,24
2006-01,2
2006-02,6
2006-03,2
2006-04,4
2006-05,36
2006-06,502
2006-07,146
2006-08,4
2006-10,10
2006-11,33
2006-12,7
2007-01,2
2007-02,2
2007-04,2
2007-05,13
2007-06,47
2007-07,15
2007-08,4
2007-09,5
2007-11,15
2008-01,59
2008-02,3
2008-03,35
2008-05,1
2008-10,1
2008-11,3
2009-01,1
2009-03,1
2009-04,1
2009-06,8
2009-07,9
2009-08,6
2009-09,15
2009-10,18
2009-11,4
2009-12,9
2010-01,899
2010-02,382
2010-03,608
2010-04,1770
2010-05,1257
2010-06,1053
2010-07,154
2010-08,4026
2010-09,21
2010-10,20
2010-11,50
2010-12,469
2011-01,21
2011-02,195
2011-03,255
2011-04,271
2011-05,110
2011-06,230
2011-07,250
2011-08,225
2011-09,40
2011-10,40
2011-11,7
2011-12,4
2012-01,41
2012-02,26
2012-03,17
2012-04,126
2012-05,368
2012-06,194
2012-07,127
2012-08,179
2012-09,87
2012-10,18
2012-11,3
2012-12,7
2013-01,21
2013-02,12
2013-03,3
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-10,1
2013-12,1
2014-05,2
2014-06,3
2014-07,3
2014-08,1
2014-10,1
2014-12,6
2015-01,2
2015-02,1
2015-03,4
2015-04,24
2015-05,4
2015-06,7
2015-07,2
July-01,1
